Watching for file changes with StatReloader
/home/wolf/Projekte/dev/venv/tourguidecambodia/tourguidecambodia/urls.py changed, reloading.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
"GET /admin/api/main/pages/?child_of=4&for_explorer=1&fields=parent HTTP/1.1" 200 2860
"GET /admin/pages/5/edit/ HTTP/1.1" 200 47582
"GET /admin/images/chooser/ HTTP/1.1" 200 10382
"POST /admin/images/chooser/upload/ HTTP/1.1" 200 281
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_JEvzwOf.jpg HTTP/1.1" 200 5106
"GET /admin/images/chooser/ HTTP/1.1" 200 10947
"POST /admin/images/chooser/upload/ HTTP/1.1" 200 283
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_6ifRIkM.jpg HTTP/1.1" 200 5106
"POST /admin/pages/5/edit/ HTTP/1.1" 302 0
"GET /admin/pages/4/ HTTP/1.1" 200 30751
"GET / HTTP/1.1" 200 13252
"GET /static/bulma/css/style.css.map HTTP/1.1" 304 0
"GET /team/ HTTP/1.1" 200 15448
"GET /media/images/adult-casual-close-up-2857942.2e16.2e16d0ba.fill-300x240.jpg HTTP/1.1" 304 0
"GET /media/images/blurred-background-casual-close-up.2e16d0ba.fill-300x240_7FgTDUF.jpg HTTP/1.1" 304 0
"GET /static/bulma/css/style.css.map HTTP/1.1" 304 0
"GET /team/john-doe/ HTTP/1.1" 200 15730
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-26.width-240.jpg HTTP/1.1" 200 8796
"GET /static/bulma/css/style.css.map HTTP/1.1" 304 0
"GET /admin/api/main/pages/?child_of=1&for_explorer=1&fields=parent HTTP/1.1" 200 1510
"GET /admin/api/main/pages/?translation_of=3&limit=20&fields=parent&has_children=1 HTTP/1.1" 200 84
"GET /admin/api/main/pages/?child_of=3&for_explorer=1&fields=parent HTTP/1.1" 200 4268
"GET /admin/pages/4/edit/ HTTP/1.1" 200 126129
"GET /media/images/blurred-background-casual-close-up.2e16d0ba..max-165x165.jpg HTTP/1.1" 304 0
"GET /admin/images/chooser/ HTTP/1.1" 200 11513
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_6ifRIkM.jpg HTTP/1.1" 304 0
"GET /media/images/Battambang_locator_map.max-165x165.max-165x165.png HTTP/1.1" 304 0
"GET /media/images/adult-casual-close-up-2857942.2e16d0ba.fill-.max-165x165_JEvzwOf.jpg HTTP/1.1" 304 0
